ID,Wowhead Link,Completion Time
10,https://www.wowhead.com/classic/quest=10,
10000,https://www.wowhead.com/tbc/quest=10000,
10001,https://www.wowhead.com/tbc/quest=10001,
10002,https://www.wowhead.com/tbc/quest=10002,
10003,https://www.wowhead.com/tbc/quest=10003,
10007,https://www.wowhead.com/tbc/quest=10007,
10008,https://www.wowhead.com/tbc/quest=10008,
10009,https://www.wowhead.com/tbc/quest=10009,
1001,https://www.wowhead.com/classic/quest=1001,
10011,https://www.wowhead.com/tbc/quest=10011,
10016,https://www.wowhead.com/tbc/quest=10016,
10017,https://www.wowhead.com/tbc/quest=10017,
10018,https://www.wowhead.com/tbc/quest=10018,
10019,https://www.wowhead.com/tbc/quest=10019,
1002,https://www.wowhead.com/classic/quest=1002,
10020,https://www.wowhead.com/tbc/quest=10020,
10021,https://www.wowhead.com/tbc/quest=10021,
10022,https://www.wowhead.com/tbc/quest=10022,
10023,https://www.wowhead.com/tbc/quest=10023,
10024,https://www.wowhead.com/tbc/quest=10024,
10025,https://www.wowhead.com/tbc/quest=10025,
10026,https://www.wowhead.com/tbc/quest=10026,
10027,https://www.wowhead.com/tbc/quest=10027,
10028,https://www.wowhead.com/tbc/quest=10028,
1003,https://www.wowhead.com/classic/quest=1003,
10030,https://www.wowhead.com/tbc/quest=10030,
10031,https://www.wowhead.com/tbc/quest=10031,
10033,https://www.wowhead.com/tbc/quest=10033,
10034,https://www.wowhead.com/tbc/quest=10034,
10035,https://www.wowhead.com/tbc/quest=10035,
10036,https://www.wowhead.com/tbc/quest=10036,
10037,https://www.wowhead.com/tbc/quest=10037,
10040,https://www.wowhead.com/tbc/quest=10040,
10041,https://www.wowhead.com/tbc/quest=10041,
10042,https://www.wowhead.com/tbc/quest=10042,
10043,https://www.wowhead.com/tbc/quest=10043,
10045,https://www.wowhead.com/tbc/quest=10045,
10047,https://www.wowhead.com/tbc/quest=10047,
10050,https://www.wowhead.com/tbc/quest=10050,
10055,https://www.wowhead.com/tbc/quest=10055,
10057,https://www.wowhead.com/tbc/quest=10057,
10058,https://www.wowhead.com/tbc/quest=10058,
10065,https://www.wowhead.com/tbc/quest=10065,
10066,https://www.wowhead.com/tbc/quest=10066,
10067,https://www.wowhead.com/tbc/quest=10067,
1007,https://www.wowhead.com/classic/quest=1007,
10074,https://www.wowhead.com/tbc/quest=10074,
10075,https://www.wowhead.com/tbc/quest=10075,
10076,https://www.wowhead.com/tbc/quest=10076,
10077,https://www.wowhead.com/tbc/quest=10077,
10078,https://www.wowhead.com/tbc/quest=10078,
10079,https://www.wowhead.com/tbc/quest=10079,
1008,https://www.wowhead.com/classic/quest=1008,
10082,https://www.wowhead.com/tbc/quest=10082,
10085,https://www.wowhead.com/tbc/quest=10085,
10086,https://www.wowhead.com/tbc/quest=10086,
10087,https://www.wowhead.com/tbc/quest=10087,
1009,https://www.wowhead.com/classic/quest=1009,
10091,https://www.wowhead.com/tbc/quest=10091,
10095,https://www.wowhead.com/tbc/quest=10095,
10096,https://www.wowhead.com/tbc/quest=10096,
10097,https://www.wowhead.com/tbc/quest=10097,
10098,https://www.wowhead.com/tbc/quest=10098,
10099,https://www.wowhead.com/tbc/quest=10099,
101,https://www.wowhead.com/classic/quest=101,
1010,https://www.wowhead.com/classic/quest=1010,
10106,https://www.wowhead.com/tbc/quest=10106,
10109,https://www.wowhead.com/tbc/quest=10109,
1011,https://www.wowhead.com/classic/quest=1011,
10110,https://www.wowhead.com/tbc/quest=10110,
10111,https://www.wowhead.com/tbc/quest=10111,
10112,https://www.wowhead.com/tbc/quest=10112,
10115,https://www.wowhead.com/tbc/quest=10115,
10116,https://www.wowhead.com/tbc/quest=10116,
10117,https://www.wowhead.com/tbc/quest=10117,
10118,https://www.wowhead.com/tbc/quest=10118,
1012,https://www.wowhead.com/classic/quest=1012,
10123,https://www.wowhead.com/tbc/quest=10123,
10129,https://www.wowhead.com/tbc/quest=10129,
1013,https://www.wowhead.com/classic/quest=1013,
10132,https://www.wowhead.com/tbc/quest=10132,
10136,https://www.wowhead.com/tbc/quest=10136,
1014,https://www.wowhead.com/classic/quest=1014,
10142,https://www.wowhead.com/tbc/quest=10142,
10144,https://www.wowhead.com/tbc/quest=10144,
10146,https://www.wowhead.com/tbc/quest=10146,
10159,https://www.wowhead.com/tbc/quest=10159,
1016,https://www.wowhead.com/classic/quest=1016,
10161,https://www.wowhead.com/tbc/quest=10161,
10162,https://www.wowhead.com/tbc/quest=10162,
10163,https://www.wowhead.com/tbc/quest=10163,
10164,https://www.wowhead.com/tbc/quest=10164,
10165,https://www.wowhead.com/tbc/quest=10165,
10166,https://www.wowhead.com/tbc/quest=10166,
10167,https://www.wowhead.com/tbc/quest=10167,
10168,https://www.wowhead.com/tbc/quest=10168,
1017,https://www.wowhead.com/classic/quest=1017,
10173,https://www.wowhead.com/tbc/quest=10173,
10176,https://www.wowhead.com/tbc/quest=10176,
10182,https://www.wowhead.com/tbc/quest=10182,
